customer_id,region,edad,genero,tipo_contrato,antiguedad_meses,plan,tiene_internet,velocidad_mbps,tiene_tv,tiene_linea_movil,num_servicios,factura_mensual_clp,metodo_pago,dias_mora_hist,reclamos_12m,llamadas_soporte_6m,nps,descuento_activo,meses_sin_reajuste,ingreso_estimado_clp,cambios_plan_12m,mora_90d
CTL-20001,Valparaíso,55.0,Masculino,Bianual,2,Estándar,1,500.0,1,1,3,35357.0,Transferencia,2,1,2,6.2,No,5.0,502982.0,0,0
CTL-20002,Antofagasta,57.0,Masculino,Anual,4,Premium,1,50.0,0,1,2,48328.0,Efectivo,4,0,2,6.1,No,18.0,826075.0,0,0
CTL-20003,Araucanía,18.0,Masculino,Anual,9,Estándar,1,100.0,1,1,3,46012.0,Débito automático,13,1,2,4.8,No,16.0,532559.0,0,0
CTL-20004,Biobío,55.0,Masculino,Mensual,32,Estándar,1,100.0,1,0,2,32537.0,Débito automático,20,2,2,6.4,No,31.0,,0,0
CTL-20005,Metropolitana,30.0,Femenino,Bianual,6,Estándar,1,200.0,1,0,2,27985.0,WebPay,0,4,4,7.7,No,16.0,2304243.0,0,0
CTL-20006,Metropolitana,53.0,Prefiero no decir,Mensual,21,Básico,1,100.0,0,0,1,15441.0,Débito automático,2,3,2,5.9,No,33.0,,2,0
CTL-20007,Metropolitana,41.0,Masculino,Bianual,20,Básico,1,200.0,1,0,2,19239.0,Débito automático,6,0,2,6.2,Sí,15.0,,1,0
CTL-20008,Los Lagos,42.0,Femenino,Mensual,51,Básico,1,100.0,1,1,3,21841.0,Cheque,4,2,1,9.2,No,8.0,777943.0,0,0
CTL-20009,Maule,39.0,Masculino,Bianual,27,Premium,0,,1,1,2,43682.0,WebPay,15,2,5,7.5,Sí,32.0,697976.0,1,0
CTL-20010,Araucanía,58.0,Masculino,Anual,70,Premium,1,500.0,1,1,3,49929.0,WebPay,0,0,4,7.4,No,28.0,212988.0,2,0
CTL-20011,Metropolitana,24.0,Masculino,Bianual,28,Estándar,1,100.0,1,0,2,33753.0,Transferencia,11,1,3,9.3,No,22.0,417792.0,0,0
CTL-20012,Antofagasta,50.0,Femenino,Mensual,1,Básico,1,100.0,0,0,1,14168.0,Débito automático,7,0,5,3.3,No,15.0,722855.0,1,0
CTL-20013,Los Lagos,57.0,Masculino,Mensual,14,Estándar,1,500.0,1,0,2,34975.0,WebPay,4,1,2,5.5,No,21.0,454343.0,1,0
CTL-20014,Metropolitana,52.0,Femenino,Mensual,34,Básico,1,200.0,1,0,2,19451.0,WebPay,7,0,1,5.2,No,16.0,739948.0,0,0
CTL-20015,Metropolitana,74.0,Masculino,Mensual,19,Estándar,1,100.0,0,1,2,29379.0,WebPay,28,0,3,6.6,No,0.0,458441.0,0,0
CTL-20016,Metropolitana,34.0,Masculino,Mensual,16,Estándar,1,100.0,0,1,2,29288.0,Débito automático,0,2,2,7.6,Sí,25.0,868884.0,0,0
CTL-20017,Valparaíso,55.0,Masculino,Bianual,32,Básico,1,100.0,1,0,2,23348.0,Transferencia,3,4,1,8.3,Sí,,573887.0,0,0
CTL-20018,Biobío,40.0,Masculino,Anual,10,Básico,1,200.0,0,1,2,17038.0,Débito automático,7,1,1,4.7,No,35.0,668321.0,0,0
CTL-20019,Valparaíso,59.0,Masculino,Mensual,68,Estándar,0,,0,0,1,27116.0,WebPay,8,1,0,8.8,Sí,11.0,1130334.0,0,0
CTL-20020,Metropolitana,41.0,Masculino,Bianual,15,Estándar,1,500.0,1,1,3,38137.0,Cheque,0,2,4,5.7,No,4.0,542282.0,0,0
CTL-20021,Maule,36.0,,Anual,28,Básico,1,200.0,0,1,2,20759.0,Transferencia,1,0,4,1.7,No,30.0,2457051.0,0,0
CTL-20022,Metropolitana,60.0,Femenino,Bianual,114,Premium,1,100.0,1,1,3,48304.0,Débito automático,0,0,1,6.9,No,2.0,511805.0,2,0
CTL-20023,Metropolitana,35.0,Masculino,Bianual,44,Premium,1,200.0,0,0,1,39772.0,Débito automático,6,0,1,4.5,No,8.0,325096.0,0,0
CTL-20024,Valparaíso,22.0,Femenino,Anual,22,Estándar,1,50.0,1,1,3,34823.0,Transferencia,17,0,4,9.2,No,,854536.0,0,0
CTL-20025,Valparaíso,34.0,Masculino,Mensual,55,Estándar,1,50.0,0,1,2,33590.0,Transferencia,22,1,1,3.0,Sí,3.0,247516.0,1,0
CTL-20026,O'Higgins,50.0,Femenino,Bianual,24,Básico,1,200.0,1,1,3,31517.0,Transferencia,3,0,1,7.9,No,9.0,669137.0,0,0
CTL-20027,Metropolitana,61.0,Masculino,Mensual,17,Premium,1,50.0,1,1,3,59497.0,Débito automático,#REF!,1,0,3.8,No,5.0,434211.0,0,0
CTL-20028,Biobío,43.0,Masculino,Anual,58,Básico,0,,0,0,1,-1000.0,Transferencia,0,1,3,6.7,No,4.0,332671.0,0,0
CTL-20029,Biobío,60.0,Prefiero no decir,Anual,1,Básico,1,,0,0,1,12727.0,Cheque,4,0,1,8.5,No,27.0,523215.0,0,0
CTL-20030,Metropolitana,22.0,Masculino,Mensual,15,Estándar,1,1000.0,1,1,3,38222.0,Efectivo,0,2,0,8.4,No,12.0,468401.0,1,0
CTL-20031,Maule,35.0,Femenino,Anual,12,Básico,1,200.0,1,0,2,17807.0,WebPay,15,1,0,8.7,Sí,25.0,367791.0,1,0
CTL-20032,Metropolitana,37.0,Femenino,Mensual,36,Premium,1,1000.0,1,0,2,50459.0,WebPay,5,1,2,5.4,No,0.0,510296.0,0,0
CTL-20033,Metropolitana,-5.0,Masculino,Mensual,1,Estándar,1,50.0,0,0,1,26128.0,Débito automático,29,4,5,4.4,No,19.0,926697.0,1,0
CTL-20034,Antofagasta,43.0,No binario,Mensual,31,Básico,0,,0,1,1,17384.0,Débito automático,2,0,0,8.6,Sí,35.0,,0,0
CTL-20035,Antofagasta,51.0,Femenino,Bianual,12,Premium,1,50.0,1,1,3,54273.0,Débito automático,5,1,1,7.1,No,,451891.0,0,0
CTL-20036,O'Higgins,35.0,Femenino,Mensual,3,Estándar,1,100.0,1,0,2,32386.0,Débito automático,13,1,1,4.1,No,23.0,546159.0,0,0
CTL-20037,Valparaíso,43.0,Prefiero no decir,Bianual,111,Estándar,1,200.0,0,1,2,31294.0,Transferencia,1,1,2,4.8,No,35.0,799124.0,3,0
CTL-20038,Metropolitana,41.0,Masculino,Anual,7,Básico,1,100.0,1,1,3,25218.0,WebPay,4,1,1,5.9,No,33.0,437877.0,0,0
CTL-20039,Araucanía,29.0,Masculino,Anual,13,Premium,1,50.0,0,0,1,46209.0,WebPay,16,2,2,7.2,No,26.0,600598.0,1,0
CTL-20040,Valparaíso,40.0,Femenino,Anual,7,Básico,1,100.0,1,0,2,19913.0,Efectivo,9,1,1,8.5,No,34.0,1121900.0,0,0
CTL-20041,Metropolitana,39.0,Masculino,Mensual,31,Básico,1,50.0,1,1,3,18692.0,Débito automático,8,0,0,10.0,No,34.0,,0,0
CTL-20042,Biobío,39.0,Masculino,Mensual,43,Estándar,1,50.0,1,1,3,39270.0,Efectivo,6,1,3,1.0,No,30.0,736098.0,0,1
CTL-20043,Metropolitana,42.0,Femenino,Mensual,56,Premium,1,50.0,0,0,1,42159.0,Transferencia,5,3,1,8.9,No,14.0,,0,0
CTL-20044,Coquimbo,43.0,No binario,Anual,11,Básico,1,100.0,1,1,3,23725.0,Transferencia,5,1,2,6.1,No,,278652.0,0,0
CTL-20045,Metropolitana,35.0,Masculino,Anual,21,Básico,1,500.0,1,1,3,26654.0,WebPay,0,1,1,7.9,No,6.0,480995.0,1,0
CTL-20046,Maule,59.0,Femenino,Mensual,31,Estándar,1,100.0,0,1,2,28130.0,Transferencia,3,3,5,7.2,No,2.0,468958.0,0,0
CTL-20047,Valparaíso,25.0,Masculino,Anual,28,Premium,1,100.0,0,0,1,41664.0,WebPay,5,0,3,8.6,Sí,21.0,609153.0,0,0
CTL-20048,Biobío,31.0,Masculino,Mensual,36,Estándar,1,50.0,0,0,1,27062.0,Débito automático,27,1,3,,No,26.0,450135.0,0,0
CTL-20049,Biobío,80.0,Femenino,Anual,42,Premium,0,,1,0,1,46046.0,Transferencia,3,2,2,4.0,No,3.0,536063.0,0,0
CTL-20050,Metropolitana,27.0,No binario,Anual,3,Básico,1,50.0,1,1,3,27903.0,WebPay,1,1,3,4.7,No,16.0,647781.0,2,0
CTL-20051,Antofagasta,23.0,Masculino,Bianual,6,Básico,0,,1,1,2,21099.0,WebPay,0,2,2,5.3,Sí,34.0,289010.0,1,0
CTL-20052,O'Higgins,52.0,Masculino,Mensual,38,Estándar,1,1000.0,0,1,2,32497.0,Débito automático,error,2,1,6.4,No,30.0,750153.0,0,1
CTL-20053,Antofagasta,18.0,Masculino,Bianual,19,Básico,1,200.0,0,1,2,23604.0,Transferencia,1,1,2,8.2,No,21.0,330434.0,0,0
CTL-20054,Coquimbo,38.0,Femenino,Mensual,16,Básico,1,500.0,0,1,2,19550.0,Débito automático,8,1,1,8.0,No,34.0,458606.0,0,0
CTL-20055,Biobío,72.0,Masculino,Anual,18,Básico,1,500.0,1,1,3,28608.0,Transferencia,6,#REF!,3,8.7,No,13.0,265039.0,1,0
CTL-20056,Coquimbo,,Masculino,Mensual,14,Básico,0,,0,0,1,17204.0,Cheque,6,1,1,,No,13.0,341266.0,0,1
CTL-20057,Metropolitana,18.0,Femenino,Mensual,26,Estándar,1,200.0,1,0,2,33381.0,Transferencia,4,0,3,7.3,No,2.0,301629.0,0,0
CTL-20058,Metropolitana,21.0,Masculino,Bianual,11,Estándar,1,200.0,0,1,2,33452.0,Transferencia,9,2,0,6.3,No,21.0,746845.0,2,0
CTL-20059,Metropolitana,54.0,Masculino,Mensual,29,Estándar,0,,1,0,1,21622.0,Transferencia,7,2,3,7.8,No,2.0,551983.0,0,1
CTL-20060,Valparaíso,57.0,Femenino,Mensual,7,Básico,1,500.0,0,1,2,19438.0,Efectivo,11,3,1,5.5,Sí,28.0,,0,0
CTL-20061,Valparaíso,34.0,,Anual,40,Estándar,1,1000.0,1,0,2,32034.0,Efectivo,10,0,1,9.8,No,1.0,2816907.0,0,0
CTL-20062,Metropolitana,51.0,No binario,Anual,43,Premium,1,200.0,1,1,3,56734.0,Transferencia,0,3,3,7.7,No,7.0,641745.0,0,0
CTL-20063,Los Lagos,61.0,Masculino,Mensual,25,Estándar,1,100.0,1,0,2,35365.0,Débito automático,29,1,3,,No,7.0,334928.0,3,0
